bodyUniqueId,sessionUniqueId,meetingNum,date,location,minutesText,createdAt,updatedAt,recordingMemberId
senate,48,1,2017-04-10,Ellsworth Room (RU 3602),"",2020-11-18 21:16:45.651+00,2020-11-18 21:16:45.651+00,
senate,48,2,2017-04-17,Shelnutt Gallery (RU 3606),"",2020-11-18 21:16:45.651+00,2020-11-18 21:16:45.651+00,
senate,48,3,2017-04-24,Shelnutt Gallery (RU 3606),"",2020-11-18 21:16:45.651+00,2020-11-18 21:16:45.651+00,
senate,48,4,2017-05-01,Shelnutt Gallery (RU 3606),"",2020-11-18 21:16:45.651+00,2020-11-18 21:16:45.651+00,
senate,48,5,2017-09-02,Brueggeman Room (CBIS),"",2020-11-18 21:16:45.651+00,2020-11-18 21:16:45.651+00,
senate,48,6,2017-09-11,Shelnutt Gallery (RU 3606),"",2020-11-18 21:16:45.651+00,2020-11-18 21:16:45.651+00,
senate,48,7,2017-09-18,Shelnutt Gallery (RU 3606),"",2020-11-18 21:16:45.651+00,2020-11-18 21:16:45.651+00,
senate,48,8,2017-09-25,Shelnutt Gallery (RU 3606),"",2020-11-18 21:16:45.651+00,2020-11-18 21:16:45.651+00,
senate,48,9,2017-10-02,Shelnutt Gallery (RU 3606),"",2020-11-18 21:16:45.651+00,2020-11-18 21:16:45.651+00,
senate,48,10,2017-10-16,Shelnutt Gallery (RU 3606),"",2020-11-18 21:16:45.651+00,2020-11-18 21:16:45.651+00,
senate,48,11,2017-10-23,Shelnutt Gallery (RU 3606),"",2020-11-18 21:16:45.651+00,2020-11-18 21:16:45.651+00,
senate,48,12,2017-10-30,Shelnutt Gallery (RU 3606),"",2020-11-18 21:16:45.651+00,2020-11-18 21:16:45.651+00,
senate,48,13,2017-11-06,Shelnutt Gallery (RU 3606),"",2020-11-18 21:16:45.651+00,2020-11-18 21:16:45.651+00,
senate,48,14,2017-11-13,Shelnutt Gallery (RU 3606),"",2020-11-18 21:16:45.651+00,2020-11-18 21:16:45.651+00,
senate,48,15,2017-11-20,Shelnutt Gallery (RU 3606),"",2020-11-18 21:16:45.651+00,2020-11-18 21:16:45.651+00,
