bodyUniqueId,sessionUniqueId,uniqueId,name,createdAt,updatedAt,presidingOfficerPositionId
senate,48,aac,Academic Affairs Committee,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,6
senate,48,crc,Community Relations Committee,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,8
senate,48,fsc,Facilities and Services Committee,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,7
senate,48,hsac,Hospitality Services Advisory Committee,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,28
senate,48,hri,Human Resources Interview Committee,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,27
senate,48,irc,Internal Reforms Committee,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,10
senate,48,ec,Elections Commission,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,29
senate,48,slc,Student Life Committee,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,5
senate,48,sgcc,Student Government Communications Committee,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,4
senate,48,uar,Union Annual Report Committee,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,9
senate,48,wtg,Web Technologies Group,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,23
senate,49,aac,Academic Affairs Committee,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,6
senate,49,crc,Community Relations Committee,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,8
senate,49,fsc,Facilities and Services Committee,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,7
senate,49,hsac,Hospitality Services Advisory Committee,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,28
senate,49,ertf,Elections Reform Task Force,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,
senate,49,ec,Elections Commission,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,29
senate,49,slc,Student Life Committee,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,5
senate,49,sgcc,Student Government Communications Committee,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,4
senate,49,uar,Union Annual Report Committee,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,9
senate,49,wtg,Web Technologies Group,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,23
senate,50,aac,Academic Affairs Committee,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,6
senate,50,crc,Community Relations Committee,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,8
senate,50,fsc,Facilities and Services Committee,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,7
senate,50,hsac,Hospitality Services Advisory Committee,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,28
senate,50,atf,Arch Task Force,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,
senate,50,ec,Elections Commission,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,29
senate,50,slc,Student Life Committee,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,5
senate,50,sgcc,Student Government Communications Committee,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,4
senate,50,uar,Union Annual Report Committee,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,9
senate,50,wtg,Web Technologies Group,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,23
senate,51,aac,Academic Affairs Committee,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,6
senate,51,fsc,Facilities and Services Committee,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,7
senate,51,ec,Elections Commission,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,29
senate,51,slc,Student Life Committee,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,5
senate,51,sgcc,Student Government Communications Committee,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,4
senate,51,uar,Union Annual Report Committee,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,9
senate,51,wtg,Web Technologies Group,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,23
eboard,17-18,policies,Union Policies Committee,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,33
eboard,17-18,busops,Union Business Operations Committee,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,30
eboard,17-18,clubops,Union Club Operations Committee,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,31
eboard,17-18,upac,Union Programming and Activities Committee,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,34
eboard,17-18,map,"Union Marketing, Advertising, and Publicity Committee",2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,32
jboard,17-18,smvc,Student Motor Vehicle Court,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,35
uc,17-18,2018,Class of 2018 Council,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,36
uc,17-18,2019,Class of 2019 Council,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,37
uc,17-18,2020,Class of 2020 Council,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,38
uc,17-18,2021,Class of 2021 Council,2020-11-18 21:16:45.617+00,2020-11-18 21:16:45.617+00,39
